	amicus	argDate	argMonth	argYear	caseName	cutoffs_ALL	cutoffs_BREYER	cutoffs_GINSBURG	cutoffs_KENNEDY	cutoffs_ROBERTS	cutoffs_SCALIA	decDate	majVotes	minVotes	winner	words_BREYER	words_GINSBURG	words_KENNEDY	words_ROBERTS	words_SCALIA	sentiment_BREYER	sentiment_GINSBURG	sentiment_KENNEDY	sentiment_ROBERTS	sentiment_SCALIA
04-1704	1	5/15/06	5	6	DAIMLERCHRYSLER CORPORATION v. CHARLOTTE CUNO et al.	-24.0	0.14285714285714285	-1.0	-1.0	-0.6	0.0	5/15/06	9	0	1	0.4563106796116505	-1.0	-1.0	-0.545816733067729	-0.17835671342685372	0.35119047619047616	0.2333333333333333	0.0	-0.11796536796536797	0.055303030303030305
04-1739	-1	6/28/06	6	6	"""JEFFREY A. BEARD, SECRETARY, PENNSYLVANIA DEPARTMENT OF CORRECTIONS v. RONALD BANKS, INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED"""	27.0	1.0	1.0	0.0	1.0	0.5	6/28/06	6	2	1	1.0	0.5238095238095238	1.0	0.7816091954022989	0.7916666666666666	0.05226190476190475	-0.3263888888888889	-0.2	0.26134920634920633	-0.39417293233082706
04-277	-1	6/27/05	6	5	"""NATIONAL CABLE & TELECOMMUNICATIONS ASSOCIATION, et al. v. BRAND X INTERNET SERVICES, et al."""	9.0	-1.0	0.0	0.0	0.0	0.5	6/27/05	6	3	1	-0.9838709677419356	0.0	0.0	0.0	0.9577464788732394	-0.011111111111111113	0.0	0.0	0.0	0.05833333333333332
04-278	-1	6/27/05	6	5	"""TOWN OF CASTLE ROCK, COLORADO v. GONZALES, INDIVIDUALLY AND AS NEXT FRIEND OF HER DECEASED MINOR CHILDREN, GONZALES et al."""	21.0	0.0	1.0	1.0	0.0	1.0	6/27/05	7	2	1	-0.02803738317757009	0.84	1.0	0.0	1.0	-0.24285714285714285	-0.18591269841269842	-0.23380952380952377	0.0	-0.05247252747252747
04-340	0	6/20/05	6	5	"""SAN REMO HOTEL, L. P., et al. v. CITY AND COUNTY OF SAN FRANCISCO, CALIFORNIA, et al."""	10.0	1.0	0.0	1.0	0.0	1.0	6/20/05	9	0	0	1.0	0.5849056603773585	1.0	0.0	1.0	-0.2857142857142857	0.0	0.18333333333333335	0.0	0.0
04-368	0	5/31/05	5	5	ARTHUR ANDERSEN LLP v. UNITED STATES	-23.0	-1.0	1.0	-1.0	0.0	-0.6923076923076923	5/31/05	9	0	1	-1.0	1.0	-0.7099236641221374	0.0	-0.4971098265895954	0.01214285714285714	0.03125	0.012962962962962963	0.0	0.06706349206349205
04-373	-1	11/14/05	11	5	MARYLAND v. LEEANDER JEROME BLAKE	41.0	1.0	0.2	0.4	1.0	0.38461538461538464	11/14/05	9	0	0	1.0	0.4166666666666667	0.7174254317111459	0.7918552036199095	0.3756906077348066	-0.16565126050420162	0.3111111111111111	0.05513852813852814	-0.23214285714285712	-0.002959183673469385
04-433	0	6/5/06	6	6	"""JOSEPH ANZA, et al. v. IDEAL STEEL SUPPLY CORP."""	-7.0	1.0	-1.0	1.0	0.0	-0.38461538461538464	6/5/06	9	0	1	-0.6622222222222223	-0.3034825870646766	1.0	0.07721280602636535	-0.5688073394495413	-0.07052910052910048	0.12590877259994906	-0.18333333333333335	-0.03744047619047619	0.029692460317460326
04-473	-1	3/21/06	3	6	"""GIL GARCETTI, et al. v. RICHARD CEBALLOS"""	71.0	1.0	1.0	0.6923076923076923	0.5	1.0	5/30/06	5	4	1	1.0	1.0	0.7386759581881533	0.3592233009708738	0.8868894601542416	-0.04777216610549944	-0.09068322981366458	-0.29240591397849464	0.2005357142857143	-0.1947172619047619
04-480	-1	6/27/05	6	5	"""METRO-GOLDWYN-MAYER STUDIOS, INC., et al. v. GROKSTER, LTD., et al."""	49.0	-0.3333333333333333	1.0	0.5	0.0	1.0	6/27/05	9	0	1	-0.6219512195121951	1.0	0.8108108108108109	0.0	-1.0	0.19583333333333333	-0.128	0.033333333333333326	0.0	0.0
04-495	-1	6/13/05	6	5	"""REGINALD A. WILKINSON, DIRECTOR, OHIO DEPARTMENT OF REHABILITATION AND CORRECTION, et al. v. CHARLES E. AUSTIN et al."""	45.0	1.0	1.0	0.0	0.0	1.0	6/13/05	9	0	1	1.0	1.0	1.0	0.0	1.0	-0.01207651044607566	-0.05973124098124099	-0.08084415584415584	0.0	-0.07808123249299721
04-514	0	6/27/05	6	5	"""RICKY BELL, WARDEN v. GREGORY THOMPSON"""	12.0	1.0	1.0	1.0	0.0	0.0	6/27/05	5	4	1	1.0	1.0	1.0	0.0	0.1590909090909091	-0.00416666666666668	-0.14805555555555555	-0.13636363636363635	0.0	-0.6
04-563	1	6/23/05	6	5	"""DENEICE A. MAYLE, WARDEN v. JACOBY LEE FELIX"""	-8.0	1.0	0.0	1.0	0.0	0.0	6/23/05	7	2	1	1.0	1.0	-0.8410596026490066	0.0	-1.0	-0.11233766233766232	-0.05401785714285714	-0.12592592592592594	0.0	-0.05
04-593	0	2/22/06	2	6	"""DOMINO'S PIZZA, INC., et al. v. JOHN MCDONALD"""	-14.0	-1.0	-1.0	1.0	0.0	-1.0	2/22/06	8	0	1	0.6862745098039216	-1.0	1.0	-0.6271186440677966	-1.0	0.3583333333333334	-0.09999999999999999	-0.057499999999999996	-0.2857142857142857	0.02022486772486772
04-597	-1	1/23/06	1	6	"""UNITHERM FOOD SYSTEMS, INC. v. SWIFT-ECKRICH, INC., DBA CONAGRA REFRIGERATED FOODS"""	67.0	1.0	1.0	0.0	1.0	0.42857142857142855	1/23/06	7	2	1	1.0	0.9193548387096774	0.0	1.0	0.10222222222222224	0.05967261904761905	0.05097829801777169	0.13636363636363635	0.16964285714285715	-0.1870174963924964
04-603	1	6/13/05	6	5	"""GRABLE & SONS METAL PRODUCTS, INC. v. DARUE ENGINEERING & MANUFACTURING"""	-17.0	0.0	-1.0	-1.0	0.0	-0.5	6/13/05	9	0	0	0.0	-1.0	-0.33171912832929784	0.0	-0.7777777777777778	-0.40625	0.03607142857142857	0.2045634920634921	0.0	0.054775828460039
04-607	-1	6/22/06	6	6	"""LABORATORY CORPORATION OF AMERICA HOLDINGS, DBA LABCORP v. METABOLITE LABORATORIES, INC., et al."""	7.0	1.0	0.0	0.0	0.0	0.0	6/22/06	5	3	0	-0.061488673139158574	0.0	0.6494845360824743	0.0	1.0	0.23975694444444445	0.0	0.10650510204081633	0.0	-0.09068181818181818
04-623	0	1/17/06	1	6	"""ALBERTO R. GONZALES, ATTORNEY GENERAL, et al. v. OREGON, et al."""	15.0	0.3333333333333333	-0.7142857142857143	1.0	-0.3333333333333333	-1.0	1/17/06	6	3	0	-0.05555555555555555	-0.6438356164383562	1.0	-0.9907407407407408	-1.0	-0.2857142857142857	0.22604166666666664	0.2916666666666667	0.004824561403508778	0.03996913580246914
04-631	1	12/6/05	12	5	"""JOAN WAGNON, SECRETARY, KANSAS DEPARTMENT OF REVENUE v. PRAIRIE BAND POTAWATOMI NATION"""	-48.0	0.05882352941176471	-1.0	0.3333333333333333	-1.0	-1.0	12/6/05	7	2	1	-0.4113475177304965	-1.0	0.6615384615384615	-1.0	-0.13636363636363635	0.07678571428571426	0.0953125	0.4	0.008749999999999999	-0.056249999999999994
04-637	0	6/13/05	6	5	"""MARGARET BRADSHAW, WARDEN v. JOHN DAVID STUMPF"""	10.0	0.42857142857142855	-1.0	1.0	0.0	-0.6666666666666666	6/13/05	9	0	1	-0.3264033264033264	0.3333333333333333	1.0	0.0	0.07894736842105263	-0.31666666666666665	-0.16428571428571428	-0.12291666666666667	0.0	-0.03516865079365082
04-698	-1	11/14/05	11	5	"""SCHAFFER, A MINOR, BY HIS PARENTS AND NEXT FRIENDS, SCHAFFER, ET VIR, et al. v. WEAST, SUPERINTENDENT, MONTGOMERY COUNTY PUBLIC SCHOOLS, et al."""	112.0	1.0	1.0	1.0	0.0	1.0	11/14/05	6	2	0	1.0	1.0	1.0	0.0	1.0	0.0	-0.10833333333333334	-0.3046875	0.0	0.014829192546583847
04-712	0	11/29/05	11	5	"""LINCOLN PROPERTY COMPANY, et al. v. CHRISTOPHE ROCHE, ET UX."""	-31.0	-1.0	-0.42857142857142855	0.0	1.0	-1.0	11/29/05	9	0	1	-0.6928746928746928	-0.3741496598639456	0.0	-0.5575221238938053	-1.0	-0.06633572347858063	-0.21857142857142858	0.0	0.4479910714285714	0.5
04-721	1	1/10/06	1	6	"""MIKE EVANS, ACTING WARDEN v. REGINALD CHAVIS"""	-109.0	-1.0	-1.0	-1.0	-1.0	-1.0	1/10/06	9	0	1	-1.0	-1.0	-1.0	-1.0	-1.0	0.07107606679035253	-0.024999999999999994	0.0	0.4714285714285714	0.030357142857142853
04-759	0	11/8/05	11	5	"""UNITED STATES v. JOSEPH OLSON, et al."""	1.0	-1.0	0.0	0.0	0.0	-0.3333333333333333	11/8/05	9	0	1	-1.0	-0.5	-0.037037037037037035	-0.3478260869565217	-0.015503875968992246	0.00218253968253968	0.0	0.3857142857142857	0.07243303571428572	0.16850427350427355
04-848	0	2/22/06	2	6	BARBARA DOLAN v. UNITED STATES POSTAL SERVICE et al.	-45.0	-1.0	-1.0	-1.0	-0.2	-0.4117647058823529	2/22/06	7	1	1	-0.1417004048582996	-0.5089820359281437	-1.0	0.06772908366533864	-0.3675213675213676	0.01547619047619047	0.0654761904761905	0.042708333333333334	0.18326955782312926	-0.07895854145854145
04-881	0	12/7/05	12	5	JAMES LOCKHART v. UNITED STATES et al.	30.0	0.3333333333333333	0.0	1.0	0.0	0.0	12/7/05	9	0	0	0.3918918918918919	0.0	1.0	0.06976744186046513	0.0	-0.2251653439153439	0.0	0.23557692307692307	0.16666666666666666	0.0
04-885	0	1/23/06	1	6	"""CENTRAL VIRGINIA COMMUNITY COLLEGE, et al. v. BERNARD KATZ, LIQUIDATING SUPERVISOR FOR WALLACE'S BOOKSTORES, INC."""	2.0	-1.0	1.0	0.3333333333333333	-1.0	-0.25	1/23/06	5	4	0	-0.07309486780715396	0.9679144385026738	-0.6239316239316239	-0.766109785202864	-0.6187594553706506	0.16761309523809526	0.43875	-0.07857142857142854	0.26547903850535426	0.14637249827467222
04-905	-1	1/10/06	1	6	"""VOLVO TRUCKS NORTH AMERICA, INC. v. REEDER-SIMCO GMC, INC."""	29.0	0.7142857142857143	0.5	0.0	1.0	1.0	1/10/06	7	2	1	0.6395450568678915	0.9611650485436892	0.0	0.8013245033112583	1.0	-0.19735119047619049	-0.09999999999999998	0.0	0.34619883040935673	-0.10401785714285716
04-928	-1	2/22/06	2	6	OREGON v. RANDY LEE GUZEK	69.0	1.0	-0.3333333333333333	0.5	1.0	1.0	2/22/06	8	0	1	1.0	0.22535211267605634	-0.3478260869565217	1.0	1.0	-0.18510797914207003	0.19375	0.05310846560846562	-0.14787537024379127	-0.059782608695652176
04-944	-1	2/22/06	2	6	"""JENIFER ARBAUGH v. Y & H CORPORATION, DBA THE MOONLIGHT CAFE"""	33.0	1.0	0.0	1.0	-0.6	0.0	2/22/06	8	0	1	1.0	0.38461538461538464	1.0	0.5	1.0	-0.31464285714285717	-0.07785714285714285	0.23958333333333331	-0.0850340136054422	-0.13665674603174602
04-980	0	1/11/06	1	6	"""JILL L. BROWN, WARDEN v. RONALD L. SANDERS"""	13.0	-1.0	0.0	0.0	0.3333333333333333	0.2	1/11/06	5	4	1	0.0	-0.3016949152542373	0.625	0.1139240506329114	-0.3015873015873016	-0.19166666666666665	-0.11517857142857144	0.18011904761904765	-0.04166666666666667	0.825
05-1056	-1	4/30/07	4	7	MICROSOFT CORPORATION v. AT&T CORP.	22.0	0.5	0.0	1.0	0.0	1.0	4/30/07	7	1	1	0.6150234741784038	0.14285714285714285	1.0	0.0	1.0	-0.024636015325670498	0.0	0.31921164772727273	0.0	-0.020277777777777773
05-1074	-1	5/29/07	5	7	"""LILLY M. LEDBETTER v. THE GOODYEAR TIRE & RUBBER COMPANY, INC."""	10.0	0.0	0.3333333333333333	-1.0	1.0	1.0	5/29/07	5	4	0	1.0	0.1365079365079365	-1.0	1.0	1.0	0.046527777777777786	0.025198412698412706	-0.023809523809523808	0.03153235653235654	0.036011904761904766
05-1120	0	4/2/07	4	7	"""MASSACHUSETTS, et al. v. ENVIRONMENTAL PROTECTION AGENCY et al."""	-13.0	-1.0	0.0	1.0	1.0	-0.3333333333333333	4/2/07	5	4	1	-0.884393063583815	-0.07936507936507936	1.0	0.8092783505154639	0.27391304347826084	0.1977380952380952	0.25	0.03888888888888889	-0.09487577639751554	-0.039431517556517554
05-1126	1	5/21/07	5	7	"""BELL ATLANTIC CORPORATION, et al. V.WILLIAM TWOMBLY, et al."""	-16.0	-0.3333333333333333	0.0	-0.3333333333333333	-1.0	-1.0	5/21/07	7	2	1	-0.5650684931506851	-0.5588235294117647	0.7666666666666667	0.048458149779735685	-0.710691823899371	0.0791638321995465	0.65	-0.16645833333333332	-0.03184523809523809	-0.15148809523809526
05-11284	0	4/25/07	4	7	"""JALIL ABDUL-KABIR, FKA TED CALVIN COLE v. NATHANIEL QUARTERMAN, DIRECTOR, TEXAS DEPARTMENT OF CRIMINAL JUSTICE, CORRECTIONAL INSTITUTIONS DIVISION"""	1.0	-1.0	-1.0	0.0	1.0	1.0	4/25/07	5	4	1	-1.0	-0.6658823529411765	0.7241379310344828	0.012531328320802004	0.7859531772575251	-0.04906462585034014	-0.4325	0.07762605042016806	-0.07574404761904763	0.0005219780219780611
05-11304	0	4/25/07	4	7	LAROYCE LATHAIR SMITH v. TEXAS	11.0	-0.3333333333333333	0.0	0.0	1.0	1.0	4/25/07	5	4	1	-0.08016877637130802	-1.0	0.6547619047619048	0.76	1.0	0.060449735449735476	0.02500000000000001	-0.08564814814814811	0.010714285714285711	0.06988729661143454
05-1157	1	6/18/07	6	7	"""CREDIT SUISSE SECURITIES (USA) LLC, FKA CREDIT SUISSE FIRST BOSTON LLC, et al. v. GLEN BILLING et al."""	-13.0	-1.0	0.0	0.0	0.0	0.0	6/18/07	7	1	1	-1.0	0.0	0.0	-1.0	-1.0	0.04070597277119015	-0.008528739778739783	0.0	0.09738863287250382	0.07886316872427988
05-1240	1	2/20/07	2	7	ANDRE WALLACE v. KRISTEN KATO et al.	12.0	1.0	1.0	0.5	0.0	1.0	2/20/07	7	2	0	-0.288135593220339	-0.4545454545454545	-0.21899736147757254	-0.20300751879699247	0.9844961240310076	-0.021316738816738814	0.15166666666666667	-0.15946969696969698	-0.14851743132565054	0.23104395604395603
05-1256	0	2/20/07	2	7	"""PHILIP MORRIS USA v. MAYOLA WILLIAMS, PERSONAL REPRESENTATIVE OF THE ESTATE OF JESSE D. WILLIAMS, DECEASED"""	2.0	0.0	-1.0	0.0	1.0	-1.0	2/20/07	5	4	1	0.1506849315068493	1.0	1.0	0.12312312312312312	-0.14124293785310735	-0.19901422107304456	0.031004901960784308	0.07658730158730159	0.024305555555555552	-0.18340773809523805
05-1272	-1	3/27/07	3	7	"""ROCKWELL INTERNATIONAL CORP., et al. v. UNITED STATES et al."""	18.0	0.0	0.0	0.0	0.2	1.0	3/27/07	6	2	1	0.0	0.0	0.0	0.3106796116504854	0.9417989417989416	0.0	0.0	0.0	-0.05466269841269843	0.061397058823529395
05-128	0	6/15/06	6	6	"""HOWARD DELIVERY SERVICE, INC., et al. v. ZURICH AMERICAN INSURANCE CO."""	-9.0	1.0	1.0	-1.0	-1.0	-0.7777777777777778	6/15/06	6	3	1	1.0	1.0	0.5138121546961326	-0.4117647058823529	0.16602316602316602	-0.06035714285714287	0.0	-0.05982142857142858	-0.125	0.02668650793650794
05-1284	-1	6/11/07	6	7	"""LISA WATSON, et al. v. PHILIP MORRIS COMPANIES, INC., et al."""	17.0	1.0	1.0	0.0	0.0	0.6	6/11/07	9	0	1	1.0	1.0	1.0	0.2624798711755233	0.6450511945392492	-0.0980706075533662	-0.07661862990810359	0.0	-0.030224867724867724	-0.03574380165289254
05-130	-1	5/15/06	5	6	"""EBAY INC., et al. v. MERCEXCHANGE, L. L. C."""	21.0	0.7777777777777778	-1.0	0.5	0.8	0.6666666666666666	5/15/06	9	0	1	0.7781155015197568	0.8015873015873016	0.9078947368421052	0.3333333333333333	0.4402420574886536	0.2249550960735171	-0.20066137566137565	0.054574592074592074	0.09219817219817218	-0.11257936507936506
05-1342	-1	4/17/07	4	7	"""LINDA A. WATTERS, COMMISSIONER, MICHIGAN OFFICE OF INSURANCE AND FINANCIAL SERVICES v. WACHOVIA BANK, N. A., et al."""	-8.0	-0.3333333333333333	1.0	1.0	-0.3333333333333333	0.5	4/17/07	5	3	0	0.10805500982318272	1.0	1.0	0.8342245989304813	0.7573221757322176	-0.05175925925925927	-0.0482363315696649	0.0	-0.07960497835497835	-0.019724556489262357
05-1345	1	4/30/07	4	7	"""UNITED HAULERS ASSOCIATION, INC., et al. v. ONEIDA-HERKIMER SOLID WASTE MANAGEMENT AUTHORITY, et al."""	-26.0	-1.0	0.0	-0.7777777777777778	-1.0	-0.6363636363636364	4/30/07	6	3	0	-1.0	0.7368421052631579	-0.8586956521739131	-0.3522267206477733	-0.8586387434554974	0.0779978354978355	-0.16111111111111112	0.43545546120546125	-0.1291358024691358	-0.20390625
05-1429	1	3/20/07	3	7	TRAVELERS CASUALTY & SURETY COMPANY OF AMERICA v. PACIFIC GAS AND ELECTRIC COMPANY	-14.0	-1.0	-1.0	-1.0	0.0	0.0	3/20/07	9	0	1	-1.0	-1.0	-1.0	-1.0	0.0	-0.007119565217391301	0.10877192982456141	0.00944444444444445	0.061956521739130424	0.0
05-1448	-1	6/11/07	6	7	"""JEFFREY H. BECK, LIQUIDATING TRUSTEE OF THE ESTATES OF CROWN VANTAGE, INC. AND CROWN PAPER COMPANY v. PACE INTERNATIONAL UNION et al."""	16.0	0.0	0.0	1.0	1.0	1.0	6/11/07	9	0	1	1.0	1.0	0.9237057220708448	0.8145161290322581	1.0	-0.06171875	-0.09736111111111112	0.08166666666666667	0.25892857142857145	-0.09242797432452604
05-1508	-1	4/17/07	4	7	"""ZUNI PUBLIC SCHOOL DISTRICT NO. 89, et al. v. DEPARTMENT OF EDUCATION, et al."""	39.0	1.0	1.0	0.0	1.0	1.0	4/17/07	5	4	0	1.0	1.0	0.0	1.0	1.0	-0.05208894878706199	-0.03315217391304348	0.0	-0.037509920634920646	-0.024903048340548333
05-1541	0	4/30/07	4	7	EC TERM OF YEARS TRUST v. UNITED STATES	6.0	1.0	1.0	0.0	0.0	0.0	4/30/07	9	0	0	0.3302752293577982	1.0	-0.6377952755905512	-0.3503184713375796	0.4848484848484849	0.2569444444444444	-0.13452380952380952	-0.1712962962962963	-0.3104166666666667	0.044432419432419434
05-1575	1	5/14/07	5	7	"""DORA B. SCHRIRO, DIRECTOR, ARIZONA DEPARTMENT OF CORRECTIONS v. JEFFREY TIMOTHY LANDRIGAN, AKA BILLY PATRICK WAYNE HILL"""	2.0	0.0	0.0	0.3333333333333333	0.0	-0.7142857142857143	5/14/07	5	4	1	-1.0	-0.6790123456790124	-0.01567398119122257	-0.05827505827505827	-0.35412026726057905	-0.03744047619047618	-0.2111111111111111	-0.053422619047619045	0.0026623964803312652	0.3029271708683473
05-1589	0	6/14/07	6	7	"""GARY DAVENPORT, et al. v. WASHINGTON EDUCATION ASSOCIATION"""	41.0	1.0	1.0	1.0	1.0	1.0	6/14/07	9	0	1	1.0	1.0	1.0	0.2571428571428571	0.39226519337016574	-0.010317460317460317	0.04107142857142857	-0.11300314465408805	0.0333041958041958	-0.1638888888888889
05-1629	0	1/17/07	1	7	"""ALBERTO R. GONZALES, ATTORNEY GENERAL v. LUIS ALEXANDER DUENAS-ALVAREZ"""	-1.0	-1.0	1.0	0.0	0.0	-1.0	1/17/07	9	0	1	-1.0	1.0	1.0	0.4941176470588236	-0.15196998123827393	-0.01887254901960784	0.03194444444444444	-0.07500000000000001	-0.125521978021978	-0.03905229694123039
05-1631	1	4/30/07	4	7	TIMOTHY SCOTT v. VICTOR HARRIS	7.0	1.0	0.0	0.5	0.5	0.2	4/30/07	8	1	1	0.9002932551319648	-0.7777777777777778	0.2964824120603015	0.10869565217391304	-0.30042918454935624	0.030612244897959176	-0.10317460317460315	0.15253439153439152	-0.015848214285714285	0.13663059163059163
05-184	-1	6/29/06	6	6	"""SALIM AHMED HAMDAN v. DONALD H. RUMSFELD, SECRETARY OF DEFENSE, et al."""	-101.0	-1.0	-1.0	-1.0	0.0	-1.0	6/29/06	5	3	1	-1.0	-1.0	-1.0	0.0	-1.0	0.0037878787878787845	0.16666666666666666	-0.0035714285714285757	0.0	0.0031250000000000028
05-200	-1	6/15/06	6	6	"""EMPIRE HEALTHCHOICE ASSURANCE, INC., DBA EMPIRE BLUE CROSS BLUE SHIELD v. DENISE F. MCVEIGH, AS ADMINISTRATRIX OF THE ESTATE OF JOSEPH E. MCVEIGH"""	24.0	-0.14285714285714285	0.0	1.0	1.0	-0.7777777777777778	6/15/06	5	4	0	0.552317880794702	-1.0	0.1297709923664122	0.8654434250764526	-0.6914893617021277	0.14485958485958486	0.4761904761904761	-0.4225	0.1573076923076923	-0.11982142857142858
05-204	0	6/28/06	6	6	"""LEAGUE OF UNITED LATIN AMERICAN CITIZENS, et al. v. RICK PERRY, GOVERNOR OF TEXAS, et al."""	-15.0	-1.0	0.0	0.0	-0.6	-1.0	6/28/06	5	4	1	-1.0	0.0	-0.4371859296482412	-0.6634429400386848	-1.0	0.07543650793650794	0.0	-0.10133903133903134	0.5327777777777778	-0.04675925925925926
05-259	0	6/22/06	6	6	BURLINGTON NORTHERN & SANTA FE RAILWAY COMPANY v. SHEILA WHITE	7.0	1.0	0.6	1.0	0.0	0.3333333333333333	6/22/06	9	0	0	1.0	1.0	1.0	0.0658682634730539	0.6818181818181818	-0.06895743145743147	0.09066091954022987	0.0	0.049404761904761896	0.07928104575163397
05-260	1	5/15/06	5	6	"""JOEL SEREBOFF, ET UX. v. MID ATLANTIC MEDICAL SERVICES, INC."""	-37.0	-1.0	-1.0	-1.0	-0.3333333333333333	-0.42857142857142855	5/15/06	9	0	0	-1.0	-0.7860465116279071	-0.6853932584269663	-0.553213909378293	-0.9264448336252188	0.2263507326007326	0.2049603174603175	0.25	0.0002872944049414697	0.2681150793650794
05-352	0	6/26/06	6	6	UNITED STATES v. CUAUHTEMOC GONZALEZ-LOPEZ	2.0	0.0	1.0	0.0	-1.0	0.5	6/26/06	5	4	0	0.0	1.0	-1.0	-1.0	0.27184466019417475	0.0	-0.3	0.3595238095238095	-0.17719633307868604	-0.0812395937395937
05-380	0	4/18/07	4	7	"""ALBERTO R. GONZALES, ATTORNEY GENERAL v. LEROY CARHART, et al."""	3.0	0.0	0.0	0.0	0.0	0.0	4/18/07	5	4	1	0.09090909090909093	-0.5595238095238095	0.8241758241758241	-0.5922330097087378	1.0	0.1522943541965281	-0.10238095238095239	-0.2011904761904762	-0.11022727272727276	0.0
05-381	0	2/20/07	2	7	"""WEYERHAEUSER COMPANY V.ROSS-SIMMONS HARDWOOD LUMBER COMPANY, INC."""	3.0	0.0	0.0	1.0	0.0	-1.0	2/20/07	9	0	1	0.0	0.0	1.0	0.4090909090909091	0.85	-0.052521952043228605	0.17380952380952383	-0.06666666666666668	-0.2222222222222222	-0.15555555555555553
05-409	-1	6/15/06	6	6	"""CARL KIRCHER, et al. v. PUTNAM FUNDS TRUST et al."""	35.0	1.0	1.0	1.0	1.0	1.0	6/15/06	9	0	1	1.0	1.0	1.0	1.0	1.0	-0.03589285714285714	-0.025216450216450206	0.09999999999999999	-0.06887755102040817	-0.03398809523809524
05-416	-1	6/22/06	6	6	"""JEANNE S. WOODFORD, et al. v. VIET MIKE NGO"""	43.0	1.0	1.0	1.0	1.0	1.0	6/22/06	6	3	1	0.9447004608294932	1.0	1.0	0.5749128919860628	1.0	-0.12160714285714284	-0.2285714285714286	-0.03076923076923075	0.04999999999999999	0.17797619047619048
05-465	1	6/5/06	6	6	"""MOHAWK INDUSTRIES, INC. v. SHIRLEY WILLIAMS et al."""	-17.0	0.0	-1.0	0.0	-1.0	-0.5	6/5/06	9	0	1	-1.0	-1.0	0.0	-0.8083333333333333	-0.16393442622950818	0.0	0.10277777777777779	0.0	-0.24583333333333335	0.007142857142857184
05-493	0	10/13/06	10	6	"""ROBERT L. AYERS, JR., ACTING WARDEN v. FERNANDO BELMONTES"""	0.0	-1.0	0.6	0.5	-1.0	1.0	10/13/06	5	4	1	-1.0	1.0	0.4639175257731959	-0.9101123595505618	0.5867768595041323	0.008531746031746031	-0.06819028417818743	0.27291666666666664	0.06911564625850342	-0.11736111111111112
05-502	-1	5/22/06	5	6	"""BRIGHAM CITY, UTAH v. CHARLES W. STUART et al."""	20.0	1.0	0.0	0.3333333333333333	1.0	0.4	5/22/06	8	0	1	1.0	1.0	0.6842105263157895	0.13821138211382114	0.4540059347181009	0.021726190476190482	-0.15	0.253125	0.009259259259259273	-0.21898148148148147
05-547	1	12/5/06	12	6	"""JOSE ANTONIO LOPEZ v. ALBERTO R. GONZALES, ATTORNEY GENERAL"""	-52.0	-0.5	-1.0	1.0	0.3333333333333333	-0.9047619047619048	12/5/06	8	1	1	-0.6848484848484848	-0.806949806949807	0.5384615384615384	0.3133047210300429	-0.8376068376068376	0.5031190476190476	0.10797101449275362	-0.0625	0.017658730158730176	-0.20085207231040564
05-593	0	1/22/07	1	7	"""PAT OSBORN v. BARRY HALEY, et al."""	-4.0	-1.0	0.0	0.0	-1.0	-1.0	1/22/07	7	2	0	-0.6478260869565218	0.3333333333333333	-1.0	-0.02949061662198392	-0.7606837606837606	0.10596100759144236	0.24166666666666667	-0.07727272727272727	-0.06726190476190476	-0.01036414565826331
05-595	-1	2/28/07	2	7	"""GLEN WHORTON, DIRECTOR, NEVADA DEPARTMENT OF CORRECTIONS v. MARVIN HOWARD BOCKTING"""	8.0	0.0	0.0	1.0	0.0	0.3333333333333333	2/28/07	9	0	1	1.0	1.0	1.0	0.8440111420612814	0.7842323651452282	0.0	-0.022846638655462187	-0.10432449494949496	0.12617325855962222	0.014923469387755121
05-608	0	1/9/07	1	7	"""MEDIMMUNE, INC. v. GENENTECH, INC., et al."""	6.0	0.0	1.0	1.0	0.4545454545454545	-0.5	1/9/07	8	1	1	-1.0	1.0	1.0	0.5923076923076923	0.0	0.1200727513227513	0.07613756613756612	0.11785714285714284	0.06259299516908212	0.12757227891156464
05-669	0	12/11/06	12	6	"""BP AMERICA PRODUCTION COMPANY, SUCCESSOR IN INTEREST TO AMOCO PRODUCTION COMPANY, et al. v. REJANE BURTON, ACTING ASSISTANT SECRETARY, LAND AND MINERALS MANAGEMENT, DEPARTMENT OF THE INTERIOR, et al."""	4.0	0.0	1.0	0.0	0.0	0.08571428571428573	12/11/06	7	0	0	0.0	0.4678111587982833	-1.0	0.0	0.4075675675675676	0.0	-0.014166666666666668	0.0	0.0	0.0316438824333561
05-705	-1	4/17/07	4	7	"""GLOBAL CROSSING TELECOMMUNICATIONS, INC. v. METROPHONES TELECOMMUNICATIONS, INC."""	10.0	-1.0	0.0	0.0	1.0	-0.3333333333333333	4/17/07	7	2	0	-0.8125	1.0	1.0	0.5475578406169666	0.05370843989769821	0.04975649350649351	0.125	0.0	0.038055555555555565	-0.03310185185185185
05-746	0	1/10/07	1	7	NORFOLK SOUTHERN RAILWAY COMPANY v. TIMOTHY SORRELL	-7.0	-0.5	1.0	0.0	-1.0	1.0	1/10/07	9	0	1	0.3319587628865979	1.0	-0.21428571428571427	-0.6951672862453532	0.13368983957219252	-0.192398058930317	-0.022727272727272724	0.08333333333333333	0.09	-0.14356060606060606
